User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Test_Purchase
1000004,P00128942,1,4,7,1,2,1,1,11.0,0.0,13041.110033483432
1000009,P00113442,1,2,17,2,0,0,3,5.0,0.0,10180.080480372826
1000010,P00288442,0,3,1,1,4,1,5,14.0,0.0,6146.546270344113
1000010,P00145342,0,3,1,1,4,1,4,9.0,0.0,2179.1876336768423
1000011,P00053842,0,2,1,2,1,0,4,5.0,12.0,2519.9004662004663
1000013,P00350442,1,4,1,2,3,1,2,3.0,15.0,10906.068720379148
1000013,P00155442,1,4,1,2,3,1,1,11.0,15.0,13518.16059479554
1000013,P0094542,1,4,1,2,3,1,2,4.0,9.0,10588.777835723598
1000015,P00161842,1,2,7,0,1,0,10,13.0,16.0,18714.953012048194
1000022,P00067942,1,1,15,0,4,0,5,14.0,0.0,6146.546270344113
1000026,P00046742,1,2,7,1,2,1,1,2.0,15.0,12922.596573269933
1000026,P00040042,1,2,7,1,2,1,5,0.0,0.0,6146.546270344113
1000026,P00196542,1,2,7,1,2,1,5,8.0,14.0,6146.546270344113
1000026,P00004542,1,2,7,1,2,1,5,8.0,0.0,6146.546270344113
1000028,P00159542,0,2,1,2,2,1,10,15.0,16.0,17936.24512534819
1000029,P00111542,1,3,7,2,1,0,2,17.0,0.0,14043.402912621359
1000033,P00121042,1,4,3,0,1,1,15,0.0,0.0,14629.755244755244
1000033,P00344442,1,4,3,0,1,1,5,8.0,14.0,6146.546270344113
1000034,P00265242,0,1,0,0,0,0,5,8.0,0.0,6146.546270344113
1000035,P0096642,1,4,1,2,4,1,2,3.0,4.0,10193.129375951294
1000036,P00303042,1,2,3,1,0,0,5,0.0,0.0,6146.546270344113
1000036,P00059642,1,2,3,1,0,0,1,2.0,3.0,13041.110033483432
1000042,P00030842,1,2,8,2,0,1,1,2.0,15.0,13683.083116883117
1000045,P00346442,0,4,16,0,1,1,1,2.0,14.0,12922.596573269933
1000045,P00357242,0,4,16,0,1,1,5,0.0,0.0,6146.546270344113
1000045,P00284742,0,4,16,0,1,1,5,12.0,0.0,6146.546270344113
1000048,P00110842,1,2,4,1,3,1,1,2.0,5.0,13440.045421352417
1000048,P00251642,1,2,4,1,3,1,1,2.0,4.0,8295.136612021857
1000053,P00136742,1,2,0,1,1,0,1,14.0,16.0,12922.596573269933
1000053,P0097342,1,2,0,1,1,0,1,15.0,16.0,14222.4782800441
1000053,P00168242,1,2,0,1,1,0,5,16.0,0.0,6146.546270344113
1000053,P00354342,1,2,0,1,1,0,5,11.0,0.0,6146.546270344113
1000053,P00105042,1,2,0,1,1,0,5,9.0,0.0,6146.546270344113
1000059,P00177442,0,5,1,1,4,1,1,6.0,8.0,15086.260009647853
1000062,P00119242,0,3,3,0,1,0,18,0.0,0.0,2846.109634551495
